category,severity,message,path,start_line,start_column,end_line,end_column
tags,info,"Top level spec `tags` must not be empty, and must be an array: `tags`, is missing and is required",$[0],1,1,1,1
information,info,`info` section must have a `description`,$.info,2,1,2,5
information,info,`info` section must contain a `license`,$.info,2,1,2,5
schemas,warn,a `$ref` cannot be placed next to any other properties,$.components.parameters['requiredHeader'],16,9,16,55
descriptions,info,operation method `GET` at path `/Accounts` is missing a `description`,$.paths['/Accounts'].get,18,5,18,8
tags,warn,tag `Accounting` for `GET` operation is not defined as a global tag,$.paths['/Accounts'].get.tags[0],24,11,24,21
operations,info,operation must define at least one 4xx error response,$.paths['/Accounts'].get.responses,45,7,45,16
descriptions,info,operation method `PUT` at path `/Accounts` is missing a `description`,$.paths['/Accounts'].put,70,5,70,8
tags,warn,tag `Accounting` for `PUT` operation is not defined as a global tag,$.paths['/Accounts'].put.tags[0],75,11,75,21
descriptions,info,operation method `GET` at path `/Accounts/{AccountID}` is missing a `description`,$.paths['/Accounts/{AccountID}'].get,173,5,173,8
tags,warn,tag `Accounting` for `GET` operation is not defined as a global tag,$.paths['/Accounts/{AccountID}'].get.tags[0],179,11,179,21
operations,info,operation must define at least one 4xx error response,$.paths['/Accounts/{AccountID}'].get.responses,184,7,184,16
descriptions,info,operation method `POST` at path `/Accounts/{AccountID}` is missing a `description`,$.paths['/Accounts/{AccountID}'].post,210,5,210,9
tags,warn,tag `Accounting` for `POST` operation is not defined as a global tag,$.paths['/Accounts/{AccountID}'].post.tags[0],215,11,215,21
descriptions,info,operation method `DELETE` at path `/Accounts/{AccountID}` is missing a `description`,$.paths['/Accounts/{AccountID}'].delete,338,5,338,11
tags,warn,tag `Accounting` for `DELETE` operation is not defined as a global tag,$.paths['/Accounts/{AccountID}'].delete.tags[0],343,11,343,21
descriptions,info,operation method `GET` at path `/Accounts/{AccountID}/Attachments` is missing a `description`,$.paths['/Accounts/{AccountID}/Attachments'].get,396,5,396,8
tags,warn,tag `Accounting` for `GET` operation is not defined as a global tag,$.paths['/Accounts/{AccountID}/Attachments'].get.tags[0],402,11,402,21
operations,info,operation must define at least one 4xx error response,$.paths['/Accounts/{AccountID}/Attachments'].get.responses,407,7,407,16
descriptions,info,operation method `GET` at path `/Accounts/{AccountID}/Attachments/{AttachmentID}` is missing a `description`,$.paths['/Accounts/{AccountID}/Attachments/{AttachmentID}'].get,429,5,429,8
tags,warn,tag `Accounting` for `GET` operation is not defined as a global tag,$.paths['/Accounts/{AccountID}/Attachments/{AttachmentID}'].get.tags[0],435,11,435,21
operations,info,operation must define at least one 4xx error response,$.paths['/Accounts/{AccountID}/Attachments/{AttachmentID}'].get.responses,442,7,442,16
operations,warn,paths are ambiguous with one another: `/Accounts/{AccountID}/Attachments/{AttachmentID}` and `/Accounts/{AccountID}/Attachments/{FileName}`,$.paths['/Accounts/{AccountID}/Attachments/{FileName}'],450,3,450,47
operations,error,"paths `/Accounts/{AccountID}/Attachments/{AttachmentID}` and `/Accounts/{AccountID}/Attachments/{FileName}` must not be equivalent, paths must be unique",$.paths['/Accounts/{AccountID}/Attachments/{FileName}'],450,3,450,47
descriptions,info,operation method `GET` at path `/Accounts/{AccountID}/Attachments/{FileName}` is missing a `description`,$.paths['/Accounts/{AccountID}/Attachments/{FileName}'].get,453,5,453,8
tags,warn,tag `Accounting` for `GET` operation is not defined as a global tag,$.paths['/Accounts/{AccountID}/Attachments/{FileName}'].get.tags[0],459,11,459,21
operations,info,operation must define at least one 4xx error response,$.paths['/Accounts/{AccountID}/Attachments/{FileName}'].get.responses,466,7,466,16
descriptions,info,operation method `POST` at path `/Accounts/{AccountID}/Attachments/{FileName}` is missing a `description`,$.paths['/Accounts/{AccountID}/Attachments/{FileName}'].post,474,5,474,9
tags,warn,tag `Accounting` for `POST` operation is not defined as a global tag,$.paths['/Accounts/{AccountID}/Attachments/{FileName}'].post.tags[0],479,11,479,21
examples,info,media type is missing `examples` or `example`,$.paths['/Accounts/{AccountID}/Attachments/{FileName}'].post.responses['400'].content['application/json'],509,13,509,29
descriptions,info,operation method `PUT` at path `/Accounts/{AccountID}/Attachments/{FileName}` is missing a `description`,$.paths['/Accounts/{AccountID}/Attachments/{FileName}'].put,520,5,520,8
tags,warn,tag `Accounting` for `PUT` operation is not defined as a global tag,$.paths['/Accounts/{AccountID}/Attachments/{FileName}'].put.tags[0],525,11,525,21
descriptions,info,operation method `GET` at path `/BatchPayments` is missing a `description`,$.paths['/BatchPayments'].get,566,5,566,8
tags,warn,tag `Accounting` for `GET` operation is not defined as a global tag,$.paths['/BatchPayments'].get.tags[0],572,11,572,21
operations,info,operation must define at least one 4xx error response,$.paths['/BatchPayments'].get.responses,593,7,593,16
descriptions,info,operation method `PUT` at path `/BatchPayments` is missing a `description`,$.paths['/BatchPayments'].put,684,5,684,8
tags,warn,tag `Accounting` for `PUT` operation is not defined as a global tag,$.paths['/BatchPayments'].put.tags[0],689,11,689,21
descriptions,info,operation method `POST` at path `/BatchPayments` is missing a `description`,$.paths['/BatchPayments'].post,936,5,936,9
tags,warn,tag `Accounting` for `POST` operation is not defined as a global tag,$.paths['/BatchPayments'].post.tags[0],941,11,941,21
descriptions,info,operation method `POST` `requestBody` at path `/BatchPayments` is missing a `description`,$.paths['/BatchPayments'].post.requestBody,993,7,993,18
descriptions,info,operation method `GET` at path `/BatchPayments/{BatchPaymentID}` is missing a `description`,$.paths['/BatchPayments/{BatchPaymentID}'].get,1005,5,1005,8
tags,warn,tag `Accounting` for `GET` operation is not defined as a global tag,$.paths['/BatchPayments/{BatchPaymentID}'].get.tags[0],1011,11,1011,21
operations,info,operation must define at least one 4xx error response,$.paths['/BatchPayments/{BatchPaymentID}'].get.responses,1016,7,1016,16
descriptions,info,operation method `POST` at path `/BatchPayments/{BatchPaymentID}` is missing a `description`,$.paths['/BatchPayments/{BatchPaymentID}'].post,1082,5,1082,9
tags,warn,tag `Accounting` for `POST` operation is not defined as a global tag,$.paths['/BatchPayments/{BatchPaymentID}'].post.tags[0],1087,11,1087,21
descriptions,info,operation method `POST` `requestBody` at path `/BatchPayments/{BatchPaymentID}` is missing a `description`,$.paths['/BatchPayments/{BatchPaymentID}'].post.requestBody,1120,7,1120,18
